name,alcohol_%,avg_rating_%,country,description,distillery,img,n_votes,price,taste_box_fruits,taste_box_gravy,taste_box_qualitiy,taste_box_sherry_port_barrel,taste_box_smoke_torf,taste_box_sweet,taste_box_total,url,whisky_type
Canadian Club Small Batch (Kanada) 12 Jahre,40.0,3.3,Kanada,Der Canadian Club wird aus Maiswhisky und einer Mischung aus gemälzter Gerste und Roggen hergestellt. Dabei hat jede Abfüllung der Brennerei ihre eigene Rezeptur. Anschließend wird der Blend in Bourbon Barrels bis zu seiner Vollendung gereift.,Beam Suntory UK Ltd. Springburn Bond Carlisle Street Glasgow G21 1EQ/GB,https://www.whisky.de/shop/out/pictures/generated/product/1/650_650_75/image_CANCL1200_1.jpg,12,2290,57,51,65,19,12,53,57,https://www.whisky.de/shop/International/Canadian-Club-Small-Batch-Kanada-12-Jahre.html?&searchorigin=2,Blended Whisky
Canadian Club Small Batch (Kanada) 12 Jahre,40.0,3.3,Kanada,Der Canadian Club wird aus Maiswhisky und einer Mischung aus gemälzter Gerste und Roggen hergestellt. Dabei hat jede Abfüllung der Brennerei ihre eigene Rezeptur. Anschließend wird der Blend in Bourbon Barrels bis zu seiner Vollendung gereift.Lieferung in preiswerter 1 Liter Flasche.,Beam Suntory UK Ltd. Springburn Bond Carlisle Street Glasgow G21 1EQ/GB,https://www.whisky.de/shop/out/pictures/generated/product/1/650_650_75/image_CANCL1201_1.jpg,12,2490,57,51,65,19,12,53,57,https://www.whisky.de/shop/International/Canadian-Club-Small-Batch-Kanada-12-Jahre--.html?force_sid=11aa901d7b73bc28aac3b6caaef6b079&&searchorigin=2,Blended Whisky
J.B.G. Münsterländer Bourbonfass (Deutschland) 2013/2017,43.0,1.0,Deutschland,Die Gutsbrennerei Geuting bringt jedes Jahr verschiedene Malts und Fassreifungen heraus. Dieser Malt wurde aus Bourbon Barrels abgefüllt.Limitiert auf 1.319 Flaschen!,Gutsbrennerei Joh. B. Geuting e.K. Brennereiweg 8 46399 Bocholt/DE,https://www.whisky.de/shop/out/pictures/generated/product/1/650_650_75/image_MUENS0BO0_1.jpg,1,3990,,,,,,,,https://www.whisky.de/shop/International/J-B-G-Muensterlaender-Bourbonfass-Deutschland.html?force_sid=3166103bcd9e375296ece54e3f7c5213&&searchorigin=2,Single Malt Whisky
Seagrams VO (Kanada),40.0,2.9,Kanada,Sie suchen einen Whisky mit einem guten Preis/Leistungsverhältnis? Seagrams VO ist ausgewogen mit einer deutlichen Würzigkeit des Roggens und der Weichheit eines guten Blends. Für Preisbewusste!,Diageo Germany GmbH Reeperbahn 1 20359 Hamburg/DE,https://www.whisky.de/shop/out/pictures/generated/product/1/650_650_75/image_SEAGRVO1L_1.jpg,7,1990,50,46,63,8,5,48,43,https://www.whisky.de/shop/International/Seagrams-VO-Kanada---1.html?force_sid=aacdd1c148b524c7f2bdd4dcecd84235&&searchorigin=2,Blended Whisky
Tokinoka Black (Japan),50.0,,Japan,"Tokinoka ist der hauseigene Blend der Brennerei White Oak, Grain und Malt stammen also beide von der eigenen Brennerei. Die Abfüllung Black ist durch intensive Rotweinaromen geprägt.",Whiskymax Import Industriestr. 18 63533 Mainhausen/DE,https://www.whisky.de/shop/out/pictures/generated/product/1/650_650_75/image_TOKIN0BL0_1.jpg,,3790,,,,,,,,https://www.whisky.de/shop/International/Tokinoka-Black-Japan.html?force_sid=ce30dcfe8e9c0c517f71acd315a46eae&&searchorigin=2,Blended Whisky
Rothaus Black Forest 8. Auflage (Deutschland) 2012/2016,43.0,3.0,Deutschland,"In der Badischen Staatsbrauerei Rothaus im Hochschwarzwald wurde dieser Single Malt Whisky aus speziellem Malz und dem besonders weichen Rothauser Brauwasser gemaischt und vergoren. Aromaerhaltend wurde er in kleinen Kupferbrennblasen unter Aufsicht der Destillerie Kammer-Kirsch zweifach destilliert. In deren temperaturbeständigen, ehemals zu einer Brauerei gehörenden Eiskellern reifte er in Ex-Bourbon-Fässern aus weißer Eiche bis zu seiner Vollendung. Auf seine Alkoholstärke wurde er mit Brauwasser aus Rothaus eingestellt.In Geschenkdose mit Infos zur Geschichte des Whiskys aus dem Schwarzwald.",Badische Staatsbrauerei Rothaus AG Rothaus 1 79865 Grafenhausen-Rothaus/DE,https://www.whisky.de/shop/out/pictures/generated/product/1/650_650_75/image_ROTHA0008_1.jpg,2,5490,35,42,49,2,1,35,39,https://www.whisky.de/shop/International/Rothaus-Black-Forest-8-Auflage-Deutschland-2012-2016.html?force_sid=aacdd1c148b524c7f2bdd4dcecd84235&&searchorigin=2,Single Malt Whisky
Kavalan Solist Moscatel (Taiwan),57.1,,Taiwan,"In der Solist-Serie werden Einzelfässer abgefüllt. Jede Abfüllung ist mit Seriennummer, Fassart und Unterschrift des Master Blenders versehen. Der rebsortenreine Moscatel Sherry, der zuvor in den verwendeten Fässern reifte, ist süß, aber nicht so intensiv wie beispielsweise ein PX Sherry.Die Fassnummer kann von der im Foto abgebildeten Nummer abweichen!",King Car Germany GmbH Corneliusstr. 18 40215 Düsseldorf/DE,https://www.whisky.de/shop/out/pictures/generated/product/1/650_650_75/image_KAVALSOMO_1.jpg,,29800,,,,,,,,https://www.whisky.de/shop/International/Kavalan-Solist-Moscatel-Taiwan.html?force_sid=5674e7dfd959fb7b3a73a05b200a2381&&searchorigin=2,Single Malt Whisky
Puni Alba Batch 2 (Italien) 3J-/2016,43.0,4.0,Italien,Puni ist die erste Whisky-Brennerei Italiens. Bei der Destillation wird jedoch auf schottische Verfahrensweisen und Brennblasen gesetzt. Daher wurden auch die Flaschen ähnlich einer Pot Still gestaltet. Inzwischen konnte die Brennerei ihre ersten Whiskys auf den Markt bringen. Nach drei Jahren in Marsala-Fässern durfte die Abfüllung Alba noch in gebrauchten Whiskyfässern von Islay nachreifen.,Puni Distilleria Srl Via Puni 10 39020 Glorenza/IT,https://www.whisky.de/shop/out/pictures/generated/product/1/650_650_75/image_PUNIALB01_1.jpg,1,7290,,,,,,,,https://www.whisky.de/shop/International/Puni-Alba-Batch-2-Italien-3J-2016.html?force_sid=aacdd1c148b524c7f2bdd4dcecd84235&&searchorigin=2,Malt Whisky
Stonewood Smokey Monk (Deutschland) 3 Jahre,40.0,2.2,Deutschland,"Seit 1818 werden am Fuße des Naturparks Steinwald Brände aus Obst und Getreide hergestellt. Im 19. Jahrhundert noch als experimentelle Abwandlung des Kornbrands wurde der Whisky in den 50er Jahren unter verschiedenen Namen vermarktet. Damit ist Schraml wohl die erste Brennerei Deutschlands, in der Whisky hergestellt wurde.Für Smokey Monk räuchert Gregor Schraml das Malz über Buchenfeuer. Der Name Monk, der Mönch, spielt auf die frühere Nutzung der Brennereigebäude als Kloster an.",Steinwälder Hausbrennerei Schraml Pfarrgasse 22 92681 Erbendorf/DE,https://www.whisky.de/shop/out/pictures/generated/product/1/650_650_75/image_STONE03SM_1.jpg,5,3890,,,,,,,,https://www.whisky.de/shop/International/Stonewood-Smokey-Monk-Deutschland-3-Jahre.html?force_sid=aacdd1c148b524c7f2bdd4dcecd84235&&searchorigin=2,Single Malt Whisky
Frysk Hynder Cask Strength (Niederlande) 2010/2016,48.0,,Niederlande,Nach rund fünf Jahren Reifung in Cognacfässern wurde der Frysk Hynder in kräftiger Fassstärke abgefüllt.,Us Heit Distillery Frisia Snekerstraat 43 8701 XC Bolsward/NL,https://www.whisky.de/shop/out/pictures/generated/product/1/650_650_75/image_FRYSK00CS_1.jpg,,5990,,,,,,,,https://www.whisky.de/shop/International/Frysk-Hynder-Cask-Strength-Niederlande-2010-2016.html?force_sid=11aa901d7b73bc28aac3b6caaef6b079&&searchorigin=2,Single Malt Whisky
Akashi Single Malt (Japan),46.0,3.3,Japan,Dieser Single Malt der japanischen Brennerei White Oak reifte zuerst 3 Jahre in Bourbonfässern. Danach erfolgte eine zweijährige Nachreifung in Sherryfässern.Die Abfüllung erhielt eine Silbermedaille bei der ISW 2014.,Les Whiskies du Monde 77 Avenue Fitzgerald Kennedy 33700 Mérignac/FR,https://www.whisky.de/shop/out/pictures/generated/product/1/650_650_75/image_AKASH0000_1.jpg,6,6290,,,,,,,,https://www.whisky.de/shop/International/Akashi-Japan.html?&searchorigin=2&force_sid=7c419356230d5392c7ce55d948dde931,Single Malt Whisky
Langatun Jacob's Dram (Schweiz) 6J-2010/2017,49.1,,Schweiz,"Jacob's Dram wurde dem Gründer der Bier- und Whiskybrennerei Langatun gewidmet. Jacob Baumgartner (1834-1888), gelernter Bierbraumeister, destillierte bereits damals in der Brennerei auf dem väterlichen Hof Getreidebrände.",Whiskymax Import Industriestr. 18 63533 Mainhausen/DE,https://www.whisky.de/shop/out/pictures/generated/product/1/650_650_75/image_LANGA10JA_1.jpg,,5790,,,,,,,,https://www.whisky.de/shop/International/Langatun-Jacob-s-Dram-Schweiz-2010-2017.html?force_sid=5674e7dfd959fb7b3a73a05b200a2381&&searchorigin=2,Single Malt Whisky
Crown Royal Maple (Kanada),40.0,3.5,Kanada,Dieser Crown Royal Whisky wurde in gerösteter Ahorneiche veredelt. Dadurch erhielt er likörähnliche Geschmacksnoten.,Diageo Germany GmbH Reeperbahn 1 20359 Hamburg/DE,https://www.whisky.de/shop/out/pictures/generated/product/1/650_650_75/image_CROWNROMA_1.jpg,2,3790,45,51,75,17,0,0,52,https://www.whisky.de/shop/International/Crown-Royal-Maple-Kanada.html?force_sid=11aa901d7b73bc28aac3b6caaef6b079&&searchorigin=2,Destillat (Spirit)
Mackmyra Sweden Rock (Schweden) /2017,40.0,3.5,Schweden,Zum 3. Mal füllte Mackmyra zusammen mit Brands for Fans einen Whisky für das Sweden Rock Festival ab. Die 2017er Abfüllung hat die Eigenschaften eines amerikanischen Whiskeys. So ist der Single Malt auch eine Hommage an die Bedeutung der USA im Rock 'n' Roll.Limitiert auf 5.000 Flaschen!,Mackmyra Svensk Whisky AB Kolonnvägen 2 80267 Gävle/SE,https://www.whisky.de/shop/out/pictures/generated/product/1/650_650_75/image_MACKM17SR_1.jpg,2,5690,,,,,,,,https://www.whisky.de/shop/International/Mackmyra-Sweden-Rock-Schweden-2017.html?force_sid=5674e7dfd959fb7b3a73a05b200a2381&&searchorigin=2,Single Malt Whisky
Armorik Sherry Cask (Frankreich),46.0,,Frankreich,"Ja, Asterix lebt! Im Land der Bretonen haben sich alte keltische Traditionen gehalten und man stellt auch Single Malt Whisky her. Für diesen besonderen Single Malt Whisky wurden die verschiedenste Fasstypen und Altersstufen vermählt. Mystères de l'âme Celtic. Dieser Sherryfass Whisky basiert auf dem Armorik Classic und wird anschließend noch in Sherryfässern schlussgereift.",Distillerie Warenghem Route de Guingamp 22300 Lannion/FR,https://www.whisky.de/shop/out/pictures/generated/product/1/650_650_75/image_ARMOR00SH_1.jpg,,3590,,,,,,,,https://www.whisky.de/shop/International/Armorik-Sherry-Cask-Frankreich.html?&searchorigin=2&force_sid=7c419356230d5392c7ce55d948dde931,Single Malt Whisky
Goldlys (Belgien) 14 Jahre,43.0,,Belgien,"Jan Filliers stammt aus einer Brennereifamilie. Er war der Erste, der in Belgien Whisky brannte. Goldlys verwendet eine einzigartige Mash-Bill aus Gerste, Weizen, Roggen und Mais, die eigentlich für Wacholderschnaps verwendet wird. Bei dem Double Still Verfahren wird der Whisky zuerst in einer Column Still und dann in einer für Belgien typischen Brennblase, der 'Moutwijn Ketel' gebrannt.Nach 14 Jahren im Bourbonfass folgte noch eine einjährige Nachreifung im Burgunder Rotweinfass.Limitiert auf 450 Flaschen!",Filliers Distillery Leernsesteenweg 3 9800 Deinze/BE,https://www.whisky.de/shop/out/pictures/generated/product/1/650_650_75/image_GOLDL14BU_1.jpg,,4990,,,,,,,,https://www.whisky.de/shop/International/Goldlys-Belgien---1.html?force_sid=cedff3485b3ee94fdaa04194213588d9&&searchorigin=2,Grain Whisky
Nikka Super Revival (Japan),43.0,2.0,Japan,Mit Revival wurde der originale Super von 1962 neu aufgelegt. Der Blend wurde aus Grain und Malt Whisky der Brennerei Yoichi kreiert.,La Maison du Whisky 8-10 Rue Gustave Eiffel 92110 Clichy/FR,https://www.whisky.de/shop/out/pictures/generated/product/1/650_650_75/image_NIKKASRE0_1.jpg,1,3990,,,,,,,,https://www.whisky.de/shop/International/Nikka-Super-Revival-Japan.html?force_sid=3166103bcd9e375296ece54e3f7c5213&&searchorigin=2,Blended Whisky
Togouchi (Japan) 18 Jahre,43.0,3.0,Japan,"Togouchi 18 Jahre wurde wie der jüngere 12-Jährige aus 40% schottischen Malt und 60% kanadischen Grain Whisky geblendet. Die Eichenfässer lagerten für 18 Jahre in einem 361 Meter langen Tunnel, der 1970 von der japanischen Eisenbahngesellschaft erbaut und nie vollendet wurde.",Bremer Spirituosen Contor GmbH Gisela-Müller-Wolff-Str.7 28197 Bremen/DE,https://www.whisky.de/shop/out/pictures/generated/product/1/650_650_75/image_TOGOU1800_1.jpg,2,9290,,,,,,,,https://www.whisky.de/shop/International/Togouchi-Japan-18-Jahre.html?force_sid=ce30dcfe8e9c0c517f71acd315a46eae&&searchorigin=2,Blended Whisky
Armorik Sauternes (Frankreich) 8J-2006/2014,55.0,3.5,Frankreich,Diese Einzelfassabfüllung aus der Warenghem Brennerei wurde in Sauternes Weinfässern nachgereift. Durch die feinen Weinaromen wird der Whisky komplexer und vielschichtiger.,Distillerie Warenghem Route de Guingamp 22300 Lannion/FR,https://www.whisky.de/shop/out/pictures/generated/product/1/650_650_75/image_ARMOR06SA_1.jpg,2,6190,,,,,,,,https://www.whisky.de/shop/International/Armorik-Sauternes-Frankreich-8J-2006-2014.html?&searchorigin=2,Single Malt Whisky
Glen Els Rhum Agricole (Deutschland) 5J-2012/2017,62.3,,Deutschland,"Für das Weihnachtsgeschäft 2017 schuf Glen Els wieder 2 neue 'gently woodsmoked'-Abfüllungen. Das Malz für den Whisky wird mit leichtem Holzrauch getrocknet. Rhum Agricole ist eine absolute Spezialität, nur knapp 10% der gesamten Rumproduktion werden auf diese Weise hergestellt. Statt wie sonst üblich die in der Zuckerindustrie übrig gebliebene Melasse zu verwenden, wird für Agricole frisch gepresster Zuckerrohrsaft verarbeitet.Limitiert auf 805 Flaschen!",Hammerschmiede Spirituosen Karl-Theodor Buchholz Elsbach 11a 37449 Zorge/DE,https://www.whisky.de/shop/out/pictures/generated/product/1/650_650_75/image_GELS00GWR_1.jpg,,7990,,,,,,,,https://www.whisky.de/shop/International/Glen-Els-Rhum-Agricole-Deutschland-5J-2012-2017.html?force_sid=cedff3485b3ee94fdaa04194213588d9&&searchorigin=2,Single Malt Whisky
Mackmyra Motörhead Batch 7 ohne Umverpackung(Schweden),40.0,,Schweden,Die Rockband Motörhead feierte 2015 ihr 40-jähriges Bestehen. Einige Zeit später starb ihr Gründer und Bassist Lemmy Kilmister. Zusammen mit Mackmyra und der schwedischen Firma Brands For Fans wurde dieser besondere Single Malt zum Jubiläum kreiert. Der Whisky reifte zum größten Teil in frischen Bourbonfässern. Anschließend folgte ein Finish in Sherryfässern.Lieferung ohne Umverpackung!Nicht rabattfähig!,Mackmyra Svensk Whisky AB Kolonnvägen 2 80267 Gävle/SE,https://www.whisky.de/shop/out/pictures/generated/product/1/650_650_75/image_MACKMW0MH7_1.jpg,,6090,,,,,,,,https://www.whisky.de/shop/International/Mackmyra-Motoerhead-Batch-7-ohne-Umverpackung-Schweden.html?force_sid=5674e7dfd959fb7b3a73a05b200a2381&&searchorigin=2,Single Malt Whisky
Suntory Kakubin White (Japan),40.0,,Japan,Lange vor dem Boom japanischer Whiskys produzierte Suntory schon die Abfüllung White. Auch heute noch wird der Blend für seinen leichten und klaren Charakter geschätzt.,Beam Suntory UK Ltd. Springburn Bond Carlisle Street Glasgow G21 1EQ/GB,https://www.whisky.de/shop/out/pictures/generated/product/1/650_650_75/image_SUNTO0KAW_1.jpg,,4690,,,,,,,,https://www.whisky.de/shop/International/Suntory-Shiro-Kaku-White-Japan.html?force_sid=ce30dcfe8e9c0c517f71acd315a46eae&&searchorigin=2,Blended Whisky
Suntory Yamazaki (Japan) 12 Jahre,43.0,4.1,Japan,"Dieser Single Malt Whisky reifte in drei unterschiedlichen Eichenfässern: Amerikanisch, Spanisch und Japanisch. Das macht die Whiskys aus der Suntory-Brennerei unverwechselbar.Das Tal des Yamazaki am Berg Tennozan auf der Insel Honshu war 1923 die Geburtsstätte des japanischen Whiskys.",Beam Suntory UK Ltd. Springburn Bond Carlisle Street Glasgow G21 1EQ/GB,https://www.whisky.de/shop/out/pictures/generated/product/1/650_650_75/image_SUNTOYA12_1.jpg,68,9890,51,65,82,23,18,38,62,https://www.whisky.de/shop/International/Suntory-Yamazaki-Japan-12-Jahre.html?force_sid=ce30dcfe8e9c0c517f71acd315a46eae&&searchorigin=2,Single Malt Whisky
Masterson's Rye (Kanada) 10 Jahre,45.0,5.0,Kanada,"Die Marke Masterson's wird von der kalifornischen Wein- und Spirituosenfirma 3 Badge abgefüllt. Der Rye wurde nach William 'Bat' Masterson benannt, der sich zu Zeiten des Wilden Westens als Spieler, Jäger, Soldat und Journalist einen Namen machte.",Bremer Spirituosen Contor GmbH Gisela-Müller-Wolff-Str.7 28197 Bremen/DE,https://www.whisky.de/shop/out/pictures/generated/product/1/650_650_75/image_MASTE1000_1.jpg,1,7290,,,,,,,,https://www.whisky.de/shop/International/Masterson-s-Rye-Kanada-10-Jahre.html?force_sid=3166103bcd9e375296ece54e3f7c5213&&searchorigin=2,Rye
Crown Royal Reserve (Kanada),40.0,3.8,Kanada,"Crown Royal Reserve ist ein Blend aus erstklassigen kanadischen Whiskys. Andrew MacKay wählt nur diejenigen Fässer aus, deren Charakter die notwendige Tiefe und Komplexität aufweisen.",Diageo Germany GmbH Reeperbahn 1 20359 Hamburg/DE,https://www.whisky.de/shop/out/pictures/generated/product/1/650_650_75/image_CROWNRORE_1.jpg,8,3390,,,,,,,,https://www.whisky.de/shop/International/Crown-Royal-Reserve-Kanada--.html?force_sid=11aa901d7b73bc28aac3b6caaef6b079&&searchorigin=2,Blended Whisky
Eddu Silver (Frankreich),40.0,2.7,Schottland,"Auf Bretonisch, das in der Herstellregion gesprochen wird, bedeutet Ed Getreide und du bedeutet schwarz. Eddu entstand durch eine Sehnsucht nach Neuem im Geiste der Tradition.Der Eddu Whisky ist etwas völlig Neues, da er der einer der wenigen reinen Buchweizenwhisky ist. Der Eddu Silver entsteht durch Doppel-Destillation in einer Brennblase auf einer blanken Flamme und erhält dadurch sein besonderes Aroma.",,https://www.whisky.de/shop/out/pictures/generated/product/1/650_650_75/image_EDDUSILVE_1.jpg,6,3990,44,61,72,28,1,36,70,https://www.whisky.de/shop/International/Eddu-Silver-Frankreich.html?force_sid=11aa901d7b73bc28aac3b6caaef6b079&&searchorigin=2,Whisky
Mackmyra (Schweden) 10 Jahre,46.1,4.0,Schweden,"Der erste Mackmyra mit Altersangabe wurde gleich über 10 Jahre lang gereift. Zu einem Teil wurden Whiskys verwendet, die nach 8 Jahren in amerikanischer Eiche noch weitere 5 Jahre in mit Sherry gesättigten Fässern lagerten.",Mackmyra Svensk Whisky AB Kolonnvägen 2 80267 Gävle/SE,https://www.whisky.de/shop/out/pictures/generated/product/1/650_650_75/image_MACKM1000_1.jpg,3,5490,,,,,,,,https://www.whisky.de/shop/International/Mackmyra-Schweden.html?force_sid=5674e7dfd959fb7b3a73a05b200a2381&&searchorigin=2,Single Malt Whisky
Black Velvet Reserve (Kanada) 8 Jahre,40.0,3.3,Kanada,"Dieser Canadian Whisky gehört zu den bekanntesten Whiskys in ganz Amerika. Die Brennerei befindet sich am Ostrand der Rocky Mountains inmitten von Roggen und Maisfeldern, die den Rohstoff für diesen leicht süßen Whisky liefern. Dieser Black Velvet enhält ausgesuchte 8-jährige Whiskys, die mit jüngeren geblendet werden.",Horst Jürgen Bewarder Inh. Elke Bewarder e.Kfr. An der Schwentine 17 24326 Dörnick/DE,https://www.whisky.de/shop/out/pictures/generated/product/1/650_650_75/image_BLACKVE80_1.jpg,11,1890,52,56,53,5,2,47,50,https://www.whisky.de/shop/International/Black-Velvet-Reserve-Kanada-8-Jahre--.html?&searchorigin=2&force_sid=7c419356230d5392c7ce55d948dde931,Blended Whisky
